ID,Features,Swap,Swap_ratio,Distance_measure,Value,Normalized,Std
F_0,age,0.1,10%,"Hellinger
 distance(+)",0.6284839326181868,6139.031053814591,0.16624368174377066
F_0,age,0.1,10%,"Wasserstein
 distance(+)",0.001735419476994,16.951577451277785,0.0012406023983686967
F_0,age,0.1,10%,"Contingency
 coefficient(-)",0.6853698151658785,6694.692354540456,0.006625776037332187
F_0,age,0.1,10%,"Total variation
 distance(+)",0.0358006575662448,349.70082310708733,0.006892051594555147
F_0,age,0.1,10%,"Jensen–Shannon
 divergence(+)",0.0190713649924465,186.28909324622174,0.004740289718568986
F_0,age,0.3,30%,"Hellinger
 distance(+)",1.082131571096391,10570.261186469794,0.32787274709708036
F_0,age,0.3,30%,"Wasserstein
 distance(+)",0.00547034747287515,53.43435411504571,0.004307575537733222
F_0,age,0.3,30%,"Contingency
 coefficient(-)",0.6433666826973468,6284.405756587829,0.010065454520881553
F_0,age,0.3,30%,"Total variation
 distance(+)",0.10070267384306,983.663718099033,0.026869076924277927
F_0,age,0.3,30%,"Jensen–Shannon
 divergence(+)",0.0329004687246279,321.3717785021728,0.007849939444152373
F_0,age,0.5,50%,"Hellinger
 distance(+)",1.4088113533230828,13761.269299260193,0.40359246096930246
F_0,age,0.5,50%,"Wasserstein
 distance(+)",0.0090966725504324,88.85629747262574,0.006349458686807196
F_0,age,0.5,50%,"Contingency
 coefficient(-)",0.5914319367209546,5777.107157890419,0.021406140715852475
F_0,age,0.5,50%,"Total variation
 distance(+)",0.1584819037989835,1548.0512363085068,0.033464740259491636
F_0,age,0.5,50%,"Jensen–Shannon
 divergence(+)",0.0431469585063092,421.4594906896381,0.007586538349386088
F_0,age,0.7,70%,"Hellinger
 distance(+)",1.6652544217419702,16266.205191575944,0.40895629286387836
F_0,age,0.7,70%,"Wasserstein
 distance(+)",0.013985816374313351,136.61345434429597,0.007217689386410237
